Aachenerin,Aachener
abgebremst,braked
abgebremstem,braked
abgebremsten,braked
abgebremstes,braked
abgebrochen,canceled
abgebrochene,canceled
abgebrochener,aborted
abgebrochenes,aborted
abgebröckeltem,crumbled
abgebröckelten,crumbled
abgebröckeltes,crumbled
abgebrockt,rocked
abgebrockten,rocked
abgebrockter,more broken
abgebrocktes,broken down
abgebröselte,crumbled
abgebröselten,crumbled
abgebrühte,callous
abgebrühten,callous
abgebrühter,more hardened
abgebrühterem,harder
abgebrühteren,more hardened
abgebrühteres,more hardened
abgebrühtes,boiled
abgebrühteste,hardest
abgebrühtestem,hardest
abgebrühtesten,hardest
abgebrühtester,hard-boiled
abgebrühtestes,hardest
Abgebrühtheit,Callousness
abgebrummte,growled
abgebrummtem,boomed
abgebrummten,boomed
abgebrummter,humming down
abgebrummtes,boomed
abgebt,delivered
abgebucht,debited
abgebuchte,debited
abgebuchten,debited
abgebuchter,debited
abgebuchtes,debited
abgebügelt,ironed off
abgebügelte,ironed
abgebügeltem,ironed
abgebügelten,ironed
abgebügelter,ironed
abgebügeltes,ironed off
abgebunden,tied
abgebundene,tied
abgebundenem,tied
abgebundenen,tied
abgebundener,more tied
abgebundenes,bonded
abgebürstet,brushed off
abgebürstete,brushed off
abgebürsteten,brushed off
abgebürsteter,brushed off
abgebüßt,served off
abgebüßte,served
abgebüßten,served
abgebüßter,worn out
abgebüßtes,repaid
abgecheckt,checked
abgecheckte,checked
abgechecktem,checked
abgecheckter,checked
abgechecktes,checked
abgedackelt,sealed off
abgedämmt,dammed
abgedämmte,dammed
abgedämmtem,dammed
abgedämmten,dammed
abgedämmter,more dammed
abgedämmtes,dammed
abgedampft,evaporated
abgedämpft,dampened
abgedampfte,evaporated
abgedampftem,evaporated
abgedämpftem,dampened
abgedampften,evaporated
abgedämpften,dampened
abgedämpfter,more cushioned
abgedämpftes,dampened
abgedankt,abdicated
abgedankte,abdicated
abgedanktem,abdicated
abgedankten,abdicated
abgedankter,abdicated
abgedanktes,abdicated
abgedeckelt,covered
abgedeckt,covered
abgedeckte,covered
abgedecktem,covered
abgedeckten,covered
abgedeckter,covered
abgedecktes,covered
abgedichtet,sealed
abgedichtete,sealed
abgedichtetem,sealed
abgedichteten,sealed
abgedichteter,sealed
abgedichtetes,sealed
abgedient,served
abgediente,served
abgedientem,served
abgedienten,served
abgedienter,more served
abgedientes,served
abgedrängtem,pushed away
abgedrängten,pushed away
abgedrängter,pushed away
abgedrängtes,pushed away
abgedreht,turned off
abgedrehte,wacky
abgedrehtem,wacky
abgedrehten,wacky
abgedrehter,wacky
abgedrehtere,wackier
abgedrehterem,wacky
abgedrehteren,wackier
abgedrehterer,wackier
abgedrehteres,wackier
abgedrehtes,wacky
abgedrehteste,craziest
abgedrehtesten,weirdest
abgedrehtester,craziest
abgedrehtestes,craziest
abgedriftet,drifted away
abgedriftete,drifted away
abgedriftetem,drifted away
abgedrifteten,drifted away
abgedrifteter,drifted away
abgedriftetes,drifted
abgedroschen,trite
abgedroschene,trite
abgedroschenem,trite
abgedroschenen,trite
abgedroschener,trite
abgedroschenere,more trite
abgedroschenerem,more trite
abgedroscheneren,more trite
abgedroschenerer,more trite
abgedroscheneres,more trite
abgedroschenes,trite
Abgedroschenheit,Trite
abgedrosselt,throttled
abgedrosselte,throttled
abgedrosseltem,throttled
abgedrosselten,throttled
abgedrosselter,throttled
abgedrosseltes,throttled
abgedruckt,printed
abgedrückt,pulled the trigger
abgedruckte,printed
abgedrückte,pulled
abgedrucktem,reprinted
abgedrücktem,pulled
abgedruckten,printed
abgedrückten,pulled the trigger
abgedruckter,printed
abgedrückter,more pulled
abgedrucktes,printed
abgedrücktes,printed
abgeduckt,ducked
abgedungen,exiled
abgedunkelt,darkened
abgedunkelte,darkened
abgedunkeltem,darkened
abgedunkelten,darkened
abgedunkelter,darkened
abgedunkeltes,darkened
abgeduscht,showered off
abgeduschte,showered off
abgeduschtem,showered off
abgeduschten,showered off
abgeduschter,showered off
abgeduschtes,showered
abgedüst,sprayed off
abgeebbt,subsided
abgeebbte,subsided
abgeebbtem,subsided
abgeebbten,subsided
abgeebbter,subsided
abgeebbtes,ebbed
abgeerntet,harvested
abgeerntete,harvested
abgeerntetem,harvested
abgeernteten,harvested
abgeernteter,harvested
abgeerntetes,harvested
abgefackelt,flared
abgefackeltem,flared
abgefackelten,flared
abgefackelter,flared
abgefackeltes,flared
abgefahrenem,crazy
abgefahrenen,crazy
abgefahrener,wackier
abgefahrenes,crazy
abgefallen,fallen off
abgefallenem,fallen off
abgefallener,apostate
abgefallenes,fallen off
abgefälschte,fake
abgefälschten,faked
abgefälschter,fake
abgefälschtes,fake
abgefangen,intercepted
abgefangene,intercepted
abgefangenen,intercepted
abgefangener,more intercepted
abgefangenes,intercepted
abgefärbt,rubbed off
abgefärbte,rubbed off
abgefärbtem,rubbed off
abgefärbten,rubbed off
abgefärbter,stained
abgefärbtes,rubbed off
abgefasst,drafted
abgefasstem,drafted
abgefassten,drafted
abgefasstes,drafted
abgefault,rotten
abgefaulte,rotten
abgefaultem,rotten
abgefaulten,rotten
abgefaulter,rotten
abgefaultes,rotten
abgefederte,cushioned
abgefedertem,cushioned
abgefederter,cushioned
abgefegt,swept away
abgefegte,swept away
abgefegter,swept away
abgefeiert,celebrated
abgefeierte,celebrated
abgefeiertem,celebrated
abgefeierten,celebrated
abgefeierter,celebrated
abgefeiertes,celebrated
abgefeilt,filed down
abgefeilte,filed down
abgefeiltem,filed down
abgefeilten,filed down
abgefeilter,more polished
abgefeiltes,filed down
abgefeimt,cunning
abgefeimte,cunning
abgefeimtem,cunning
Abgefeimtheit,Cunning
abgefertigt,dispatched
abgefertigtem,dispatched
abgefertigter,cleared
abgefeuert,fired
abgefeuerte,fired
abgefeuerter,fired
abgefeuertes,fired
abgefickt,Fucked
abgeficktes,Fucked
abgefilmte,filmed
abgefilmtem,filmed
abgefilmter,filmed
abgefilmtes,filmed
abgefischten,fished
abgefischter,fished
abgeflacht,flattened
abgeflachte,flattened
abgeflachten,flattened
abgeflammt,flamed
abgeflämmte,flamed
abgeflämmtem,flamed
abgeflautem,waned
abgeflauter,subsided
abgeflexten,flexed
abgeforderter,demanded
abgefrorenes,frozen
abgefuckten,fucked up
abgefülltem,bottled
abgegangenen,departed
abgegaunert,crooked
abgegaunerte,crooked
abgegaunerter,crooked
abgegebenen,submitted
abgegessenem,eaten
Abgegessenheit,Absent-mindedness
abgeglichenem,matched
abgeglichenen,matched
abgeglichener,more balanced
abgeglichenes,balanced
abgeglitten,slipped
abgeglittenen,slipped
abgeglittener,slipped
abgeglittenes,slipped
abgegolten,compensated
abgegoltene,paid
abgegoltenem,paid
abgegoltener,paid
abgegoltenes,paid
abgegossen,poured off
abgegossene,poured
abgegossenem,poured
abgegossenen,poured
abgegossenes,poured
abgegraben,excavated
abgegrabene,excavated
abgegrabenem,excavated
abgegrabenen,excavated
abgegrabener,excavated
abgegrast,grazed
abgegraste,grazed
abgegrasten,grazed
abgegraster,scanned
abgegrastes,grazed
abgegrenzt,delimited
abgegrenzten,delimited
abgegrenztes,delimited
abgegriffenen,worn
abgegriffenes,worn
abgegrinst,grinned
abgeguckte,copied
abgegucktem,copied
abgeguckten,copied
abgeguckter,copied
abgegucktes,copied
abgehabt,taken off
abgehackt,chopped off
abgehackte,choppy
abgehackten,choppy
abgehackter,choppier
abgehacktes,choppy
abgehakt,checked off
abgehakte,checked off
abgehaktem,checked
abgehakten,checked off
abgehakter,ticked off
abgehaktes,checked
abgehalftert,worn out
abgehalfterte,worn out
abgehalftertem,worn out
abgehalfterten,abandoned
abgehalfterter,worn out
abgehalten,held
abgehaltene,held
abgehaltenem,held
abgehaltenen,held
abgehaltener,more restrained
abgehaltenes,held
abgehandelt,dealt with
abgehandelte,dealt with
abgehandeltem,dealt with
abgehandelten,dealt with
abgehandelter,dealt with
abgehandeltes,dealt with
abgehangen,depended on
abgehangene,depended
abgehangenem,depended
abgehangenen,depended
abgehangener,more depended
abgehangenes,depended
abgehängt,suspended
abgehängtem,suspended
abgehängten,suspended
abgehängter,more suspended
abgehängtes,suspended
Abgehängtsein,Being left behind
Abgehängtseins,Being left behind
abgehärmt,worn out
abgehärmtem,worn out
abgehärmten,worn out
abgehärmter,more worn out
abgehärmtes,worn out
abgehärtete,hardened
abgehärtetem,hardened
abgehärteten,hardened
abgehärteter,hardened
abgehärtetere,more hardened
abgehärteterem,hardened
abgehärteteren,hardened ones
abgehärteterer,more hardened
abgehärteteres,hardened
abgehärtetes,hardened
Abgehärtetsein,Being hardened
Abgehärtetseins,Being hardened
abgehärtetste,toughest
abgehärtetstem,most hardened
abgehärtetsten,toughest
abgehärtetster,toughest
abgehärtetstes,toughest
abgehaspelt,unwound
abgehaspeltem,unwound
abgehaspelten,uncoiled
abgehaspelter,uncoiled
abgehaspeltes,unwound
abgehauene,chopped off
abgehauenem,cut off
abgehauenen,run away
abgehauener,cut off
abgehauenes,cut off
abgehäutet,skinned
abgehäutete,skinned
abgehäutetem,skinned
abgehäuteten,skinned
abgehäuteter,skinned
abgehäutetes,skinned
abgehe,go off
abgehebelt,levered off
abgehebeltem,levered
abgehebelten,lifted off
abgehebelter,levered
abgehebeltes,levered
abgehechelt,hacked
abgehechelte,hacked
abgehecheltem,hacked
abgehechelten,hackled
abgehechelter,hacked
abgehecheltes,hacked
abgeheftet,filed
abgeheftete,filed
abgeheftetem,filed
abgehefteten,filed
abgehefteter,stapled
abgeheftetes,filed
abgeheilt,healed
abgeheilte,healed
abgeheiltem,healed
abgeheilten,healed
abgeheilter,healed
abgeheiltes,healed
abgehen,go off
abgehend,outgoing
abgehende,outgoing
abgehendem,outgoing
abgehenden,outgoing
abgehender,outgoing
abgehetzt,rushed
abgehetzte,rushed
abgehetztem,rushed
abgehetzten,exhausted
abgehetzter,more exhausted
abgehetztes,rushed
abgehobelt,planed
abgehobelte,planed
abgehobeltem,planed
abgehobelten,planed
abgehobelter,more planed
abgehobeltes,planed
abgehoben,lifted
abgehobene,lifted
abgehobenem,lifted
abgehobenen,lifted
abgehobener,aloof
abgehobenes,lifted
Abgehobenheit,Aloofness
abgeholfen,remedied
abgeholt,picked up
abgeholte,picked up
abgeholtem,picked up
abgeholten,picked up
abgeholter,picked up
abgeholtes,picked up
abgeholzt,cut down
abgeholzte,cut down
abgeholztem,cut down
abgeholzten,cut down
abgeholzter,deforested
abgeholztes,cut down
abgehorcht,listened to
abgehorchte,listened to
abgehorchtem,listened to
abgehorchten,listened to
abgehorchter,intercepted
abgehorchtes,listened to
abgehört,bugged
abgehörte,bugged
abgehörtem,bugged
abgehörten,bugged
abgehörter,bugged
abgehörtes,bugged
abgehst,go out
abgeht,going off
abgehustet,coughed up
abgehustete,coughed up
abgehustetem,coughed up
abgehusteter,coughed up
abgehustetes,coughed up
abgeirrt,strayed
abgeirrte,strayed
abgeirrtem,strayed
abgeirrten,strayed
abgeirrter,stray
abgeirrtes,stray
abgejagt,chased away
abgejagte,chased
abgejagtem,chased
abgejagtes,chased
abgekackt,pooped
abgekackte,pooped
abgekacktem,pooped
abgekackten,pooped
abgekacktes,shitty
abgekalbt,calved
abgekämpft,exhausted
abgekämpfte,worn out
abgekämpftem,exhausted
abgekämpftes,exhausted
abgekantet,bevelled
abgekantete,bevelled
abgekantetem,bevelled
abgekanteten,bevelled
abgekanteter,beveled
abgekantetes,bevelled
abgekanzelt,disgusted
abgekanzelte,disgusted
abgekanzelten,disgusted
abgekanzeltes,disgusted
abgekapselt,encapsulated
abgekapselte,encapsulated
abgekapseltem,encapsulated
abgekapselten,encapsulated
abgekapselter,encapsulated
abgekartet,agreed
abgekartete,mapped
abgekartetem,agreed
abgekarteter,arranged
abgekauft,bought off
abgekaufte,bought
abgekauftem,bought
abgekauften,bought
abgekaufter,bought
abgekauftes,bought
abgekaut,chewed
abgekaute,chewed
abgekautem,chewed
abgekauten,chewed
abgekauter,chewed
abgekautes,chewed
abgekippte,tipped
abgekipptem,tipped
abgekipptes,tipped
abgekitzelt,tickled
abgeklapperte,rattled off
abgeklappertem,rattled
abgeklapperten,rattled off
abgeklapperter,rattled
abgeklappertes,rattled
abgeklappt,folded down
abgeklappte,folded
abgeklapptem,folded
abgeklappten,folded down
abgeklapptes,folded
abgeklärte,clarified
abgeklärtes,clarified
abgeklatscht,clapped
abgeklatschtem,clapped
abgeklatschten,clapped
abgeklatschter,copied
abgeklebte,taped
abgeklemmt,disconnected
abgeklemmte,disconnected
abgeklemmtes,disconnected
Abgeklemmtwerden,To be disconnected
Abgeklemmtwerdens,Being disconnected
abgeklopftes,knocked off
abgeklungenem,subsided
abgeklungener,subsided
abgeknabbertem,nibbled off
abgekoppelten,uncoupled
abgekühlter,cooler
abgekündigtem,discontinued
abgekündigten,discontinued
abgekupferte,copied
abgekupfertes,copied
abgekürzter,abbreviated
abgeküsste,kissed
abgeladen,dumped
abgeladene,unloaded
abgeladenem,dumped
abgeladener,dumped
abgelagerte,deposited
abgelagertem,seasoned
abgelagerter,more seasoned
abgelaicht,spawned
abgelängtem,cut to length
abgelängten,cut to length
abgelängtes,cut to length
abgelassen,drained
abgelassene,drained
abgelassenem,drained
abgelassenen,drained
abgelassener,drained
abgelassenes,drained
abgelatscht,dumped
abgelatschter,dumped
abgelatzt,chipped off
abgelaufen,expired
abgelaufenem,expired
abgelaufenen,expired
abgelaufener,expired
abgelaufenes,expired
abgelauscht,eavesdropped
abgelauschte,intercepted
abgelauschtem,eavesdropped
abgelauschten,intercepted
abgelauschter,intercepted
abgelauschtes,eavesdropped
Abgeld,Discount
abgelebt,dead
abgelebte,expired
abgelebtem,dead
abgelebter,worn out
abgelebtes,expired
Abgelebtheit,Loneliness
abgeleckt,licked
abgeleckte,licked
abgelecktem,licked
abgeleckten,licked
abgeleckter,licked
abgelecktes,licked
abgeledert,leathered
abgelederte,deferred
abgelederten,defended
abgelederter,deferred
abgeledertes,leathered
abgelegen,remote
abgelegene,remote
abgelegenem,remote
abgelegenen,remote
abgelegener,more remote
abgelegenere,more remote
abgelegenerem,more remote
abgelegeneren,more remote
abgelegenerer,more remote
abgelegeneres,more remote
Abgelegenheit,remoteness
abgelegenste,most remote
abgelegenstem,most remote
abgelegensten,most remote
abgelegenster,most remote
abgelegt,filed
abgelegte,discarded
abgelegtem,filed
abgelegter,discarded
abgelegtes,filed
abgelehnt,declined
abgelehnte,rejected
abgelehnten,rejected
abgelehnter,rejected
abgelehntes,rejected
abgeleiert,worn out
abgeleierte,worn out
abgeleierten,worn out
abgeleierter,worn out
abgeleiertes,worn out
abgeleistet,done
abgeleistete,performed
abgeleistetem,completed
abgeleisteten,performed
abgeleisteter,more accomplished
abgeleistetes,completed
abgeleitet,derived
abgeleitete,derived
abgeleiteten,derived
abgeleiteter,derived
abgeleitetes,derived
abgelenkt,distracted
abgelenkte,distracted
abgelenktem,distracted
abgelenkten,distracted
abgelenkter,more distracted
abgelenktes,distracted
Abgelenktheit,Distraction
abgelesen,read
abgelesenem,read
abgelesenen,read
abgelesener,more read
abgelesenes,read
abgeleuchtet,illuminated
abgeleugnet,denied
abgeleugnete,denied
abgeleugnetem,denied
abgeleugneten,denied
abgeleugneter,denied
abgeleugnetes,denied
abgelichtet,photographed
abgelichtete,scanned
abgelichtetem,scanned
abgelichteten,scanned
abgelichteter,scanned
abgelichtetes,scanned
abgeliefert,delivered
abgelieferte,delivered
abgeliefertem,delivered
abgelieferten,delivered
abgelieferter,delivered
abgeliefertes,delivered
abgelöscht,extinguished
abgelöschte,extinguished
abgelöschtem,extinguished
abgelöschten,extinguished
abgelöschter,extinguished
abgelöschtes,deleted
abgelöst,replaced
abgelöste,detached
abgelöstem,detached
abgelösten,detached
abgelöster,detached
abgelöstes,replaced
abgelte,retired
abgelten,pay off
abgeltend,compensating
abgeltende,settling
abgeltendem,compensatory
abgeltenden,settled
abgeltender,final
abgeltendes,conciliatory
Abgeltens,In return
abgeltet,paid off
Abgeltung,Compensation
Abgeltungen,Compensation
Abgeltungssteuer,Withholding tax
Abgeltungssteuern,Withholding taxes
Abgeltungssteuersatz,Withholding tax rate
Abgeltungssteuersatzes,Withholding tax rate
Abgeltungsvereinbarung,Compensation agreement
Abgeltungsvereinbarungen,Compensation agreements
abgeluchst,looted
abgeluchste,abuchste
abgeluchstem,hijacked
abgeluchsten,removed
abgeluchster,seized
abgeluchstes,abuchstes
abgelutscht,sucked off
abgelutschte,sucked
abgelutschtem,sucked off
abgelutschten,sucked off
abgelutschter,sucked
abgelutschtes,sucked
abgemacht,agreed
abgemachte,agreed
abgemachtem,agreed
abgemachten,agreed
abgemachter,agreed
abgemachtes,agreed
abgemagert,emaciated
abgemagerte,emaciated
abgemagertem,emaciated
abgemagerten,emaciated
abgemagerter,emaciated
abgemagertes,emaciated
abgemahnt,warned
abgemahnte,warned
abgemahntem,warned
abgemahnten,warned
abgemahnter,warned
abgemahntes,warned
abgemäht,mowed
abgemähte,mown
abgemähtem,mown
abgemähten,mown
abgemähter,mown
abgemähtes,mowed
abgemalt,painted
abgemalte,painted
abgemaltem,painted
abgemalten,painted
abgemalter,painted
abgemaltes,painted
abgemantelt,stripped
abgemantelte,stripped
abgemanteltem,stripped
abgemantelten,stripped
abgemantelter,stripped
abgemanteltes,stripped
abgemarkt,marked off
abgemarkte,marked
abgemarktem,marked
abgemarktes,marked
abgemauert,bricked up
abgemauerte,walled off
abgemauertem,bricked up
abgemauerten,walled off
abgemauertes,bricked up
abgemeiert,rubbed off
abgemeißelt,chiseled off
abgemeißelte,chiseled off
abgemeißeltem,chiseled off
abgemeißelten,chiseled off
abgemeißelter,chiseled off
abgemeißeltes,chiseled off
abgemeldet,logged off
abgemeldete,logged off
abgemeldetem,logged off
abgemeldeten,logged off
abgemeldeter,logged off
abgemeldetes,unsubscribed
abgemergelt,emaciated
abgemergelte,emaciated
abgemergeltem,emaciated
abgemergelten,emaciated
abgemergelter,emaciated
abgemergeltes,emaciated
abgemessen,measured
abgemessene,measured
abgemessenem,measured
abgemessenen,measured
abgemessener,measured
abgemessenes,measured
abgemetzelt,butchered
abgemildert,toned down
abgemilderte,toned down
abgemildertem,toned down
abgemilderten,toned down
abgemilderter,toned down
abgemildertes,toned down
abgemindert,diminished
abgeminderte,diminished
abgemindertem,diminished
abgeminderten,mitigated
abgeminderter,diminished
abgemindertes,diminished
abgemischt,mixed
abgemischte,mixed
abgemischtem,mixed
abgemischten,mixed
abgemischter,mixed
abgemischtes,mixed
abgemolken,milked
abgemolkene,milked
abgemolkenen,milked
abgemolkener,milked
abgemühte,struggled
abgemühtem,struggling
abgemühten,toiled
abgemühter,more exhausted
abgemühtes,struggling
abgemurkste,killed
abgemurkstem,killed
abgemurkstes,busted
abgemustert,signed off
abgemusterte,signed off
abgemustertem,signed off
abgemusterten,signed off
abgemustertes,signed off
abgenabelt,cut off
abgenabelte,cut off
abgenabeltem,cut off
abgenabelten,cut the cord
abgenabelter,cut off
abgenabeltes,cut off
abgenagte,gnawed
abgenagten,gnawed off
abgenagter,gnawed
abgenagtes,gnawed
abgenähte,stitched
abgenähtem,sewn
abgenähten,sewn
abgenähter,sewn
abgeneigt,averse
abgeneigten,averse
abgeneigter,more averse
abgenervt,annoyed
abgenervte,annoyed
abgenervtem,annoyed
abgenibbelten,nibbled off
abgenibbeltes,nibbled off
abgenickte,nodded
abgenicktem,nodded
abgenommener,decreased
abgenötigten,coerced
abgenudeltes,worn out
abgenutzt,worn
abgenützte,worn
Abgeordnetenhauses,House of Representatives
Abgeordnetenhausfraktionen,House of Representatives parliamentary groups
Abgeordnetenhauswahlkreises,House election district
Abgeordnetenhochhäusern,MPs high-rise buildings
Abgeordnetenklage,MPs lawsuit
Abgeordnetenkongresse,Congress of Deputies
Abgeordnetenkonvent,Convention of Representatives
Abgeordnetenkreis,MPs
Abgeordnetenlisten,Lists of representatives
Abgeordnetenmandat,Member of Parliament
Abgeordnetenmandaten,Membership mandates
Abgeordnetenmitarbeiterin,Members of Parliament
Abgeordnetenplatz,Deputy seat
Abgeordnetenpostens,MP
Abgeordnetenrechte,Membership rights
Abgeordnetenrechten,Membership rights
Abgeordnetenseite,MPs page
Abgeordnetenseiten,MPs pages
Abgeordnetensitz,Seat of parliament
Abgeordnetensitze,MPs
Abgeordnetensitzen,MPs
Abgeordnetenstatus,MP status
Abgeordnetenstatut,Statute for Members
Abgeordnetensteckbrief,Member profile
Abgeordnetensteckbriefen,Membership profiles
Abgeordnetensteckbriefs,Membership profiles
Abgeordnetenstimmen,MPs votes
Abgeordnetentag,MPs day
Abgeordnetentage,MPs
Abgeordnetentagen,MPs
Abgeordnetentags,MPs
Abgeordnetentätigkeit,Membership activity
Abgeordnetentätigkeiten,Membership activities
Abgeordnetenversammlung,Assembly of Representatives
Abgeordnetenversammlungen,Assemblies of representatives
Abgeordnetenversorgungen,Deputy supplies
Abgeordnetenverzeichnis,List of Members
Abgeordnetenverzeichnisses,Directory of Deputies
Abgeordnetenvisite,MPs visit
Abgeordnetenvisiten,MPs visits
Abgeordnetenwahl,Election of deputies
Abgeordnetenwahlen,Elections to MPs
Abgeordnetenwebseite,MPs website
Abgeordnetenwebseiten,MPs websites
Abgeordnetenzahlen,MPs
Abgeordnetenzeit,MPs
Abgeordnetenzeiten,MPs
Abgeordnetenzusammenschluss,Association of MPs
Abgeordnetenzusammenschlüsse,MPs associations
Abgeordnetenzusammenschlüssen,Associations of representatives
abgeordneter,deputy
abgepackte,packaged
abgepackten,packaged
abgepackter,packaged
abgepacktes,packaged
abgepasst,matched
abgepasste,matched
abgepasstem,matched
abgepassten,matched
abgepasster,matched
abgepasstes,matched
abgepaust,traced
abgepauste,traced
abgepaustem,traced
abgepausten,traced
abgepauster,traced
abgepaustes,traced
abgependelt,commuted
abgependelte,commuted
abgependeltem,suspended
abgependelten,commuted
abgependelter,suspended
abgependeltes,suspended
abgeperlt,beaded off
abgeperltem,beaded
abgeperlten,beaded off
abgeperlter,pearled
abgepfiffen,whistled
abgepfiffene,whistled
abgepfiffenen,whistled
abgepfiffener,whistled
abgepfiffenes,whistled
abgepflückt,picked
abgepflücktem,picked
abgepflückten,picked
abgepflücktes,picked
abgeplagt,plagued
abgeplagte,worn out
abgeplagtem,stricken
abgeplagten,worn out
abgeplagter,worn out
abgeplagtes,distressed
abgeplattet,flattened
abgeplattete,flattened
abgeplattetem,flattened
abgeplatteten,flattened
abgeplatteter,flattened
abgeplattetes,flattened
abgeplatzt,chipped
abgeplatzte,chipped
abgeplatztem,chipped
abgeplatzten,chipped
abgeplatzter,chipped
abgepolstert,padded
abgepolsterte,padded
abgepolstertem,padded
abgepolsterten,padded
abgepolsterter,padded
abgepolstertes,padded
abgeprallt,ricocheted
abgeprallte,ricocheted
abgepralltem,ricocheted
abgeprallten,ricocheted
abgeprallter,ricocheted
abgepralltes,rebounded
abgepresst,pressed
abgepresste,pressed
abgepresstem,pressed
abgepresster,squeezed
abgeprüft,checked
abgeprüfte,checked
abgeprüftem,checked
abgeprüften,checked
abgeprüfter,checked
abgeprüftes,checked
abgepuffert,buffered
abgepufferte,buffered
abgepuffertem,buffered
abgepufferten,buffered
abgepufferter,buffered
abgepuffertes,buffered
abgepumpt,pumped out
abgepumpte,pumped out
abgepumptem,pumped out
abgepumpten,pumped out
abgepumpter,more pumped
abgepumptes,pumped out
abgeputzt,cleaned up
abgeputzte,worn
abgeputztem,cleaned
abgeputzten,cleaned up
abgeputzter,more polished
abgeputztes,cleaned
abgequält,tormented
abgequälte,tormented
abgequältem,tormented
abgequälten,tormented
abgequälter,tortured
abgequältes,tormented
abgequetscht,squeezed
abgequetschte,pinched
abgequetschtem,squeezed
abgequetschten,squeezed
abgequetschter,squeezed
abgequetschtes,squeezed
abgerackert,struggled
abgerackerte,stripped
abgerackertem,raked
abgerackerten,ragged
abgerackerter,ragged
abgerackertes,raked
abgeranzt,ripped off
abgeranzte,ripped off
abgeranztem,ripped off
abgeranzten,ripped off
abgeranztes,ripped off
abgeraten,advised against
abgeratene,advised against
abgeratenem,advised against
abgeratenen,advised against
abgeratener,advised against
abgeratenes,advised against
abgeräumt,cleared away
abgeräumte,cleared
abgeräumtem,cleared
abgeräumten,cleared
abgeräumter,cleared
abgeräumtes,cleared
abgerauscht,rushed off
abgerechnet,billed
abgerechnete,billed
abgerechnetem,billed
abgerechneten,billed
abgerechneter,billed
abgerechnetes,billed
abgeregnet,rained down
abgeregt,excited
abgereicherte,depleted
abgereichertem,depleted
abgereicherten,depleted
abgereicherter,depleted
abgereichertes,depleted
abgereist,left
abgereiste,departed
abgereistem,departed
abgereisten,left
abgereister,departed
abgereistes,departed
abgerichtet,trained
abgerichtete,trained
abgerichteten,trained
abgerichteter,more trained
abgerichtetes,dressed
abgerieben,rubbed off
abgeriebene,abraded
abgeriebenem,abraded
abgeriebenen,abraded
abgeriebener,more abraded
abgeriebenes,abraded
abgeriegelt,sealed off
abgeriegelte,sealed off
abgeriegelten,sealed off
abgeriegelter,more sealed off
abgeriegeltes,sealed off
Abgerissenheit,Isolation
abgeritten,ridden
abgerockt,rocked
abgerockte,rocked
abgerocktem,rocked
abgerockter,more rocked
abgerocktere,more rocked
abgerockterem,more rocked
abgerockteren,more rocked
abgerockterer,more rocked
abgerockteres,more rocked
abgerockteste,most rocked
abgerocktestem,most rocked
abgerocktesten,most rocked
abgerocktester,rocked
abgerocktestes,most rocked
abgerollt,unrolled
abgerollte,unrolled
abgerolltem,unrolled
abgerollten,unrolled
abgerollter,unrolled
abgerolltes,unrolled
abgerubbelt,rubbed off
abgerubbelte,rubbed off
abgerubbeltem,rubbed off
abgerubbelten,rubbed off
abgerubbelter,rubbed off
abgerubbeltes,rubbed off
abgerückte,withdrawn
abgerücktes,removed
abgerufene,retrieved
abgerufenem,retrieved
abgerufenen,retrieved
abgerufenes,retrieved
abgerundet,rounded
abgerundetem,rounded
abgerundeter,rounded
abgerundetes,rounded
Abgerundetheit,Roundedness
abgerungen,wrested
abgerungenem,wrested
abgerungenen,wrested
abgerupfte,plucked
abgerupftem,plucked
abgerupften,plucked
abgerupfter,plucked
abgerupftes,plucked
abgerüstet,disarmed
abgerüstetem,disarmed
abgerüsteter,more disarmed
abgerüstetes,disarmed
abgerutscht,slipped
abgerutschtem,slipped
abgerutschter,slipped
abgerutschtes,slipped
abgerüttelten,shaken off
abgesäbelt,cut off
abgesäbelte,cut off
abgesäbeltem,cut off
abgesackt,sagged
abgesackte,sagged
abgesagt,called off
abgesägt,sawed off
abgesägtem,sawed off
abgesägten,sawed off
abgesägter,sawn off
abgesagtes,canceled
abgesägtes,sawn off
abgesahnt,creamed
abgesahnte,creamed
abgesammelt,collected
abgesammelter,collected
abgesandten,sent
abgesandter,sent
Abgesanges,Swan song
abgescannt,scanned
abgeschafft,abolished
abgeschafftem,abolished
abgeschätztes,estimated
abgescheuert,abraded
abgeschickte,sent
abgeschickter,dispatched
abgeschicktes,sent
abgeschieden,deposited
abgeschiedene,secluded
abgeschiedenen,secluded
abgeschiedenerer,more secluded
abgeschiedenes,secluded
Abgeschiedenheit,seclusion
abgeschiedenste,most secluded
abgeschiedenstem,most isolated
abgeschilfert,peeled off
abgeschirmt,shielded
abgeschirmter,shielded
abgeschirmtes,shielded
abgeschlabbert,slobbered
abgeschlabberte,slobbered
abgeschlabbertem,slobbered
abgeschlabberter,slouched
abgeschlachtet,butchered
abgeschlachtete,butchered
abgeschlachteten,butchered
abgeschlaffte,sagged
abgeschlafften,sagged
abgeschlagene,severed
abgeschlagenen,knocked off
abgeschlagenes,knocked off
abgeschlecktem,licked
abgeschleckten,licked off
abgeschlecktes,licked off
abgeschleppt,towed
abgeschleppte,towed
abgeschlepptem,towed
abgeschleppten,towed
abgeschlepptes,towed
abgeschliffen,sanded off
